Date,Close,High,Low,Open,Volume
2015-01-01 00:00:00+00:00,189.9998,190.8771,189.0903,189.6574,2963643
2015-01-02 00:00:00+00:00,189.4969,191.7438,189.2295,190.0426,7331366
2015-01-05 00:00:00+00:00,187.4212,190.6418,187.0468,189.3792,10103941
2015-01-06 00:00:00+00:00,178.9152,186.8114,178.0379,186.1694,18627980
2015-01-07 00:00:00+00:00,182.8098,183.7728,179.1078,179.1292,20720312
2015-01-08 00:00:00+00:00,180.1885,184.6501,179.7819,184.0509,19872227
2015-01-09 00:00:00+00:00,184.0937,184.4575,180.8197,181.5473,13392787
2015-01-12 00:00:00+00:00,181.9539,184.2435,180.0922,184.1365,10100113
2015-01-13 00:00:00+00:00,180.4239,182.9489,179.8568,182.5316,9948711
2015-01-14 00:00:00+00:00,178.6692,181.2477,177.8667,180.3918,11380041
2015-01-15 00:00:00+00:00,184.939,186.4048,179.7498,179.7498,16927085
2015-01-16 00:00:00+00:00,186.1052,187.2394,182.3283,184.0295,19136963
2015-01-19 00:00:00+00:00,188.2344,189.5932,183.7621,186.2123,13339962
2015-01-20 00:00:00+00:00,193.2417,193.7767,188.0632,188.6303,13361320
2015-01-21 00:00:00+00:00,194.0335,195.0285,190.8879,193.659,17084297
2015-01-22 00:00:00+00:00,189.1117,194.1298,188.2023,193.6911,23721627
2015-01-23 00:00:00+00:00,189.7858,192.1183,187.6673,190.4492,18080494
2015-01-27 00:00:00+00:00,190.2459,191.8829,188.4163,191.0698,17939876
2015-01-28 00:00:00+00:00,194.0549,194.6861,189.6146,189.6146,19298126
2015-01-29 00:00:00+00:00,198.8803,199.9716,194.0656,194.1084,36117653
2015-01-30 00:00:00+00:00,195.8524,199.2762,194.515,199.0087,21746801
2015-02-02 00:00:00+00:00,194.3117,196.8474,193.8088,196.0236,19302710
2015-02-03 00:00:00+00:00,200.635,201.3305,195.4137,195.4137,17092333
2015-02-04 00:00:00+00:00,198.7519,201.9617,198.1313,200.956,14072894
