Date,Close,High,Low,Open,Volume,ret_fwd_1,y
2015-01-01 00:00:00+00:00,189.9998,190.8771,189.0903,189.6574,2963643,-0.0026468448914155835,0
2015-01-02 00:00:00+00:00,189.4969,191.7438,189.2295,190.0426,7331366,-0.010953741195766325,0
2015-01-05 00:00:00+00:00,187.4212,190.6418,187.0468,189.3792,10103941,-0.045384406886734265,0
2015-01-06 00:00:00+00:00,178.9152,186.8114,178.0379,186.1694,18627980,0.02176785426839082,1
2015-01-07 00:00:00+00:00,182.8098,183.7728,179.1078,179.1292,20720312,-0.014338946817949534,0
2015-01-08 00:00:00+00:00,180.1885,184.6501,179.7819,184.0509,19872227,0.02167285925572391,1
2015-01-09 00:00:00+00:00,184.0937,184.4575,180.8197,181.5473,13392787,-0.011623428721352268,0
2015-01-12 00:00:00+00:00,181.9539,184.2435,180.0922,184.1365,10100113,-0.008408723308486386,0
2015-01-13 00:00:00+00:00,180.4239,182.9489,179.8568,182.5316,9948711,-0.009725429945811026,0
2015-01-14 00:00:00+00:00,178.6692,181.2477,177.8667,180.3918,11380041,0.035091666610697334,1
2015-01-15 00:00:00+00:00,184.939,186.4048,179.7498,179.7498,16927085,0.006305863014291218,1
2015-01-16 00:00:00+00:00,186.1052,187.2394,182.3283,184.0295,19136963,0.011440840986710728,1
2015-01-19 00:00:00+00:00,188.2344,189.5932,183.7621,186.2123,13339962,0.026601407606686212,1
2015-01-20 00:00:00+00:00,193.2417,193.7767,188.0632,188.6303,13361320,0.004097459295793791,1
2015-01-21 00:00:00+00:00,194.0335,195.0285,190.8879,193.659,17084297,-0.025365722929287935,0
2015-01-22 00:00:00+00:00,189.1117,194.1298,188.2023,193.6911,23721627,0.003564559992850688,1
2015-01-23 00:00:00+00:00,189.7858,192.1183,187.6673,190.4492,18080494,0.0024243120402053855,1
2015-01-27 00:00:00+00:00,190.2459,191.8829,188.4163,191.0698,17939876,0.020021456441374017,1
2015-01-28 00:00:00+00:00,194.0549,194.6861,189.6146,189.6146,19298126,0.024866159009641096,1
2015-01-29 00:00:00+00:00,198.8803,199.9716,194.0656,194.1084,36117653,-0.01522473568271979,0
2015-01-30 00:00:00+00:00,195.8524,199.2762,194.515,199.0087,21746801,-0.00786663834601969,0
2015-02-02 00:00:00+00:00,194.3117,196.8474,193.8088,196.0236,19302710,0.032542044560363526,1
2015-02-03 00:00:00+00:00,200.635,201.3305,195.4137,195.4137,17092333,-0.009385700401226032,0
2015-02-04 00:00:00+00:00,198.7519,201.9617,198.1313,200.956,14072894,-0.005490765119729764,0
2015-02-05 00:00:00+00:00,197.6606,201.1272,196.3553,200.2926,12365643,-0.014940256176496369,0
2015-02-06 00:00:00+00:00,194.7075,199.0087,193.231,197.7462,9045844,-0.014506888537935126,0
2015-02-09 00:00:00+00:00,191.8829,196.4408,190.8771,192.8458,8839692,-0.016393331557944986,0
2015-02-10 00:00:00+00:00,188.7373,193.552,184.3078,192.1611,13651008,0.021201956370044482,1
2015-02-11 00:00:00+00:00,192.7389,193.6055,188.9513,189.5932,9781008,0.009381603817392335,1
2015-02-12 00:00:00+00:00,194.5471,195.5742,189.8607,194.301,8709626,0.009183894285753919,1
2015-02-13 00:00:00+00:00,196.3338,197.04,194.5256,195.5849,7393680,-0.0160216936666025,0
2015-02-16 00:00:00+00:00,193.1882,197.7676,192.5891,196.5906,12266698,-0.0012738873285220538,0
2015-02-18 00:00:00+00:00,192.9421,194.301,191.3907,192.589,9835036,0.0004436564129860691,1
2015-02-19 00:00:00+00:00,193.0277,194.2154,189.9249,194.0763,9550637,-0.032093321321240514,0
2015-02-20 00:00:00+00:00,186.8328,191.7331,186.4476,191.5726,18717199,-0.02479650254130968,0
2015-02-23 00:00:00+00:00,182.2,187.6139,181.2691,186.1588,14104463,-0.011744785949505945,0
2015-02-24 00:00:00+00:00,180.0601,183.3448,179.1078,182.7991,19946218,0.0020204365098097673,1
2015-02-25 00:00:00+00:00,180.4239,183.2806,179.9745,181.6329,15274116,-0.001364009978722401,0
2015-02-26 00:00:00+00:00,180.1778,181.8897,179.0222,181.0551,21459750,0.016092437581100544,1
2015-02-27 00:00:00+00:00,183.0773,184.2435,180.7341,181.3654,18659378,0.010168928643802288,1
2015-03-02 00:00:00+00:00,184.939,187.3464,183.0773,185.9554,14579511,0.04229124197708438,1
2015-03-03 00:00:00+00:00,192.7603,193.9693,185.6131,185.9554,20636925,-0.014376404269966343,0
2015-03-04 00:00:00+00:00,189.9891,194.654,188.32,193.873,14476047,-0.00326650318360367,0
2015-03-05 00:00:00+00:00,189.3685,192.3216,187.9134,190.9841,10716702,-0.017289042264156926,0
2015-03-09 00:00:00+00:00,186.0945,190.8237,184.9176,189.4006,14065391,-0.012073435808151274,0
2015-03-10 00:00:00+00:00,183.8477,187.4106,183.0452,185.9447,15234060,-0.0037248222305745226,0
2015-03-11 00:00:00+00:00,183.1629,186.0838,182.4033,184.2329,11635873,0.0091710712158412,1
2015-03-12 00:00:00+00:00,184.8427,185.6131,183.088,183.6016,11782380,-0.015859971748951963,0
2015-03-13 00:00:00+00:00,181.9111,186.0838,181.2477,185.9554,12936157,-0.009410640692074394,0
2015-03-16 00:00:00+00:00,180.1992,182.7349,179.814,182.2107,13839990,0.017515616051569684,1
2015-03-17 00:00:00+00:00,183.3555,184.0081,179.9638,182.0074,19070082,0.013771062226112692,1
2015-03-18 00:00:00+00:00,185.8805,186.6509,182.8954,183.3876,9269885,-0.014389890278969577,0
2015-03-19 00:00:00+00:00,183.2057,187.6032,182.7671,187.3571,13934612,-0.0023945761512879317,0
2015-03-20 00:00:00+00:00,182.767,184.2756,181.5901,183.5802,10405717,-0.014225215711807881,0
2015-03-23 00:00:00+00:00,180.1671,184.8855,179.3432,183.2806,13251683,0.0071261623237538286,1
2015-03-24 00:00:00+00:00,181.451,182.8098,180.1992,180.1992,9238431,-0.0035971143724751126,0
2015-03-25 00:00:00+00:00,180.7983,181.7827,179.9638,181.6757,10264941,-0.01846366918273015,0
2015-03-26 00:00:00+00:00,177.4601,181.7292,176.3474,179.9852,20621346,-0.021222235308106005,0
2015-03-27 00:00:00+00:00,173.694,178.6799,171.5006,178.4445,23326922,-0.0011710249058688718,0
2015-03-30 00:00:00+00:00,173.4906,174.9779,170.4306,174.7425,17330588,0.01881024101593971,1
2015-03-31 00:00:00+00:00,176.754,178.2305,175.0421,175.0421,20235395,0.012166627063602648,1
2015-04-01 00:00:00+00:00,178.9045,179.5358,173.9935,176.5186,14588531,-0.013635207610764435,0
2015-04-06 00:00:00+00:00,176.4651,179.3218,175.7696,178.8939,12334096,0.009943609246247476,1
2015-04-07 00:00:00+00:00,178.2198,178.9153,176.7647,176.7647,21275454,0.0396830206295822,1
2015-04-08 00:00:00+00:00,185.2921,186.0624,178.2305,178.3589,24821205,0.033721891003448086,1
2015-04-09 00:00:00+00:00,191.5405,192.3751,183.7728,185.2065,27276420,0.010334106886011043,1
2015-04-10 00:00:00+00:00,193.5199,194.4722,190.2566,191.5084,25323219,0.020069770602403073,1
2015-04-13 00:00:00+00:00,197.4038,197.8853,192.3216,194.0442,20177342,0.0012466831945484973,1
2015-04-15 00:00:00+00:00,197.6499,201.063,194.1298,197.0828,22231264,0.005088289951069999,1
2015-04-16 00:00:00+00:00,198.6556,200.7206,196.6548,197.8318,20177302,-0.0016153584394298206,0
2015-04-17 00:00:00+00:00,198.3347,202.0687,197.4252,200.0893,23958678,-0.044452130665990304,0
2015-04-20 00:00:00+00:00,189.5183,200.6029,187.9883,200.5708,37628162,-0.010387387392141071,0
2015-04-21 00:00:00+00:00,187.5497,191.6261,186.6937,190.4813,17707007,0.003764868725463129,1
2015-04-22 00:00:00+00:00,188.2558,189.7537,185.5275,188.7159,14761313,-0.0030686969538255555,0
2015-04-23 00:00:00+00:00,187.6781,190.3208,185.9661,189.1332,13337818,0.0021089301308997075,1
2015-04-24 00:00:00+00:00,188.0739,189.2615,185.8805,187.6673,12709854,-0.004096262160778264,0
2015-04-27 00:00:00+00:00,187.3035,189.9142,186.4797,188.32,11042925,-0.011538492339972332,0
2015-04-28 00:00:00+00:00,185.1423,188.7373,183.7193,187.1752,14687371,-0.0175681084225485,0
2015-04-29 00:00:00+00:00,181.8897,186.2871,181.3333,184.4575,16387960,0.01452913496476156,1
2015-04-30 00:00:00+00:00,184.5324,185.2921,181.451,181.8897,34802149,0.033165449536233245,1
2015-05-04 00:00:00+00:00,190.6525,191.2837,184.1365,185.3563,15078502,0.0013469532264197865,1
2015-05-05 00:00:00+00:00,190.9093,192.9742,189.4006,191.2409,17846755,-0.013338794914653234,0
2015-05-06 00:00:00+00:00,188.3628,191.8936,186.5974,190.4492,22438208,-0.010792470700159394,0
2015-05-07 00:00:00+00:00,186.3299,187.9776,184.0296,187.2394,16735535,0.03463641637761841,1
2015-05-08 00:00:00+00:00,192.7837,193.6613,186.5865,188.7317,17104443,0.007024971509520747,1
2015-05-11 00:00:00+00:00,194.138,194.8964,191.4186,193.4663,14214007,-0.030414962552411124,0
2015-05-12 00:00:00+00:00,188.2333,193.9104,187.4641,193.9104,16650201,0.018878699996228022,1
2015-05-13 00:00:00+00:00,191.7869,192.5562,185.7414,189.2409,16701434,-0.007795631505592968,0
2015-05-14 00:00:00+00:00,190.2918,192.0253,188.58,191.982,12329713,-0.004839409790647778,0
2015-05-15 00:00:00+00:00,189.3709,192.1878,188.5367,191.0936,8331715,0.020138257778782316,1
2015-05-18 00:00:00+00:00,193.1845,193.7154,188.9917,189.5768,9847540,0.004486902417119301,1
